"","word","mu","alpha","drift","A","B","C","resamplestdev","theta","maxRhat","medianRhat","total.freq","median.daily.p","mean.daily.p","sd.daily.p","freq.acorr","lpcor"
"cor1257","corroborates",-13.132648831177,0.539449394490009,0.240328120982976,-0.973200639460444,0.37762038678473,0.0228767512312469,0.804328083002349,0.00630777339164897,3.22355889548286,1.46373759082747,6.80461452006262,-14.7402451399845,-14.6810169036292,NA,0.124571766556037,0.739397195739113
"cor1258","cze",-11.4299741307866,1.51437352606797,0.638943859019607,-1.38534620230654,0.66465248318459,-0.333729367838562,0.795499269281172,0.00391501686707077,1.98164453255115,1.17693169667399,6.75343791859778,-14.602186787602,-14.4782741631537,NA,0.384208510921005,0.902454174986991
"cor1259","caffeinated",-9.59746856641751,2.26941374874567,0.712303596567295,-1.97129157425048,0.696400724436706,0.114182175847154,2.09943625424978,0.0104876524404255,1.4551898030833,1.00960427662183,7.87777633327726,-14.6098670749476,-14.34484867107,NA,0.512987542138994,0.93356020620736
"cor1260","accosted",-12.0002569165573,0.812949026899162,0.264409931662456,-0.860111136074466,0.692240836019768,0.0656146091859704,0.938680488252985,0.0248524878469852,1.58514434627108,1.15453002781675,7.44366368311559,-14.4919829843287,-14.4120839785033,NA,0.360549423842565,0.779285436502912
"cor1261","congressman",-8.84217874312758,1.29164036652561,0.585220019218202,-1.18003077100381,0.66314478095652,-0.144597358062102,2.19589202833329,0.00222897294793479,1.9868620920292,1.19660884796756,10.7783727863516,-11.3421037529839,-11.3309108538256,NA,0.632615181181578,0.99157734191182
"cor1262","destructive",-9.89301515577404,2.02401351974947,0.467077005363545,-1.1250611673989,0.596299831915294,0.00476617649812843,1.85992929583318,0.00237419108275221,1.16392571727077,1.01780723720083,10.1454921114913,-11.8946821056879,-11.8829943748191,NA,0.586779426121049,0.970962206198494
"cor1263","derik",-12.0991850561502,0.626310337712225,0.555651276515539,-1.20733741643423,0.579008319437022,0.311258887350444,0.823375190995729,0.00437125670714815,1.42221985285977,1.02331310456352,5.97635090929793,-14.9288354173591,-14.5927670587388,NA,0.655638399355661,0.944895750478712
"cor1264","danish",-9.11622071792422,1.76997951988928,1.05000875460783,-2.25539444947567,0.528306866650023,-0.0662429107627837,1.4340857452727,0.00229914685248584,1.18727440945128,1.02287190662751,10.0022916215947,-12.4440093140624,-12.4121075797891,NA,0.500661807496568,0.983121370934869
"cor1265","consciously",-11.770561685098,1.7017995988031,0.513796937373116,-1.17505140345109,0.495419068389596,-0.120661656215641,1.18721474308636,0.00254870330344042,1.71646964701642,1.09935153895221,8.52951694110507,-13.5463191414394,-13.5645108886911,NA,0.266202966557124,0.881600583811814
"cor1266","carpe",-12.1248552371922,0.164661199815637,0.372917401411494,-1.74890292573072,0.316789399037386,-0.17222847765035,0.416348137199033,0.00601586743716105,3.36786450458388,1.19129139228649,5.75574221358691,-14.8854236015324,-14.7245236333792,NA,-0.0549224640405505,0.829307406224437
"cor1267","blame",-8.81121704666472,0.577711669572062,0.210323319598977,-0.626621485657478,0.591192700399291,-0.0883706416605034,1.07621699563205,0.00666028872471725,1.92401096359468,1.17180896241948,11.7696817262494,-10.1817728067347,-10.1730703039145,NA,0.564079008142352,0.989477751641255
"cor1268","ditko",-11.3006510112261,0.307843380276408,0.827388049769193,-1.19648621430921,0.65433069864752,-0.30943844183574,0.832901729468985,0.00260834319970443,1.27275732243925,1.03182057933445,6.15485809401642,-14.6339961602337,-14.3490081705123,NA,0.299149081117119,0.968438633890593
"cor1269","denizens",-12.0800868563392,0.492163227696297,0.175330787023095,-0.617204931921429,0.739650393254484,-0.00347265129209009,1.37215388257544,0.00733657610198836,1.42021471376264,1.12762353587868,7.52617891334615,-14.3538849068673,-14.3832038856886,NA,0.348264756600083,0.610881563957959
