word,mu,scale,A,B,C,theta,jump,maxRhat,medianRhat,lastRhats,divergent,total.freq,median.daily.p,mean.daily.p,sd.daily.p,freq.acorr,lpcor
stuart/nnp,-11.86550893,0.613243176,-0.405279276,0.447577775,-0.075121822,1.606450351,0.304151742,1.068702279,1.004771131,1.029340976,0,9.936728886,-12.06687994,-12.09085903,0.694011958,0.279781018,0.967201756
stubborn/jj,-12.94393042,0.254475369,-0.04875169,0.527283608,-0.085284342,1.113048939,2.342262501,1.025610569,1.000751386,1.025610569,0,8.892611378,-12.97804231,-13.03877908,0.588873885,0.169893875,0.914482826
stubhub/nn,-14.61861418,0.803946629,2.950981772,0.945949076,-0.326889607,3.927264731,1.036146472,2.696812304,1.406350642,2.177961517,958,11.26901782,-9.976495841,-10.18380751,1.61182379,0.813179712,0.940943546
stub/jj,-15.31376284,0.955486983,3.270956449,0.950386007,-0.268686994,0.196733392,1.123314793,2.402796544,1.00024402,1.026005543,143,9.182557991,-12.66626562,-12.74988867,1.563377228,0.88111028,0.899833042
stuck/jj,-13.19567353,0.551076765,0.013925366,0.632770793,0.205049705,0.330445628,0.261660319,1.063051892,1.000107259,1.063051892,0,8.78431535,-13.21754835,-13.22006191,0.692772098,0.380574373,0.923785942
stuck/nn,-12.99284457,0.297296734,0.077315044,0.635272561,0.336359873,0.019810767,1.141939251,1.871374407,1.068351432,1.871374407,7,8.905444319,-12.97952349,-13.01122374,0.561680226,0.229986,0.894756045
stuck/vbd,-12.0387842,0.201706353,-0.054972211,0.463736879,-0.017503332,1.636989253,2.136669782,1.037099356,1.002663126,1.019757424,630,9.754175149,-12.06368465,-12.08180531,0.370261474,0.214999375,0.947458036
stuck/vbn,-10.87610064,0.190733456,0.509069039,0.677225509,-0.083430697,2.947550357,3.136981948,1.010969214,1.00043589,1.010969214,0,11.19931001,-10.65608146,-10.62748076,0.343506357,0.579246801,0.880658586
studded/vbd,-12.84771786,0.4580178,0.016772106,0.633724103,-0.090599896,3.084310737,0.704183722,1.00988463,1.000141516,1.00988463,0,9.095826985,-12.84895176,-12.8837566,0.676318362,0.401370094,0.943388875
student/nn,-9.276815057,0.296007669,-0.0143673,0.669243128,-0.049078819,3.756213606,1.798922468,1.026987991,1.007807348,1.013528462,0,12.59977214,-9.278964687,-9.280765393,0.404254013,0.621472388,0.995537699
student/nnp,-12.26397821,0.542272399,0.056305708,0.585993302,-0.075029044,1.378602253,1.075696386,1.329077127,1.000297144,1.026888778,72,9.76858379,-12.24997213,-12.2822308,0.713232396,0.263824295,0.97788548
students/nnp,-13.27525615,0.584398857,0.035124401,0.694403399,-0.232559261,4.002648698,1.054051125,1.008155678,1.000297344,1.008155678,2,8.808966882,-13.27392232,-13.32136296,0.883832359,0.402241727,0.948915227
students/nns,-8.701621113,0.318576291,-0.102874016,0.766625044,-0.060286442,2.925305635,1.335057992,1.180769631,1.035677644,1.103871564,0,13.15754325,-8.77999125,-8.763344005,0.478255485,0.683378997,0.995610163
studied/vbd,-11.65580192,0.257463525,0.092751668,0.576362983,-0.069122638,4.035098229,0.953008352,1.000739436,0.999974704,1.000739436,5,10.22828476,-11.60875559,-11.63434898,0.380759691,0.369854413,0.957456437
studied/vbn,-11.58898417,0.266348891,0.031033435,0.49416638,0.049610869,3.632513426,1.084751347,1.021368411,1.000705921,1.021368411,82,10.27021183,-11.56325528,-11.59996551,0.383406921,0.335383801,0.966375523
studies/nnp,-12.07928821,0.292502954,0.230324625,0.519768413,0.007795196,2.885255781,2.347011721,1.005884195,0.999998472,1.005884195,0,9.892578262,-11.97184704,-11.99772208,0.460068694,0.320722927,0.950656517
studies/nnps,-12.15114336,0.357816018,0.261563126,0.561324808,-0.034347029,1.433662168,0.423590633,1.005458975,1.000021099,1.005458975,0,9.829679535,-12.03449427,-12.05727226,0.467788548,0.299463931,0.950317249
studies/nns,-9.805860835,0.238125184,0.127320672,0.621443252,0.177926352,1.235331313,1.350697019,1.018326176,1.001583077,1.018326176,0,12.11590174,-9.726635055,-9.746287967,0.34291414,0.466666381,0.991473865
studio/nn,-10.41721587,0.264623167,0.154561165,0.56491979,-0.114759524,1.726360068,1.739851824,1.004208044,1.000228307,1.003404611,0,11.49659281,-10.35590072,-10.34814917,0.356401694,0.373030093,0.988620999
studio/nnp,-12.29028428,0.407323504,0.593274615,0.694946914,-0.103078415,0.588165736,1.892908126,1.029142495,1.001294317,1.029142495,0,10.04776104,-12.02753286,-12.02428297,0.729806329,0.375797057,0.954662482
studios/nnp,-11.58441102,0.471945274,0.592768146,0.555036444,-0.137241886,3.147841623,1.467967773,1.005006041,1.000109699,1.00473289,0,10.65400701,-11.29608855,-11.3069172,0.611224848,0.423973247,0.952510256
